2024-08-04 11:20:50,631:ERROR:Error fetching poster (attempt 1/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:21:07,650:ERROR:Error fetching poster (attempt 1/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:21:10,797:ERROR:Error fetching poster (attempt 1/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:21:11,915:ERROR:Error fetching poster (attempt 2/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:21:14,661:ERROR:Error fetching poster (attempt 1/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:21:15,793:ERROR:Error fetching poster (attempt 2/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:21:17,945:ERROR:Error fetching poster (attempt 3/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:22:23,513:ERROR:Error fetching poster (attempt 1/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:22:24,681:ERROR:Error fetching poster (attempt 2/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:22:26,839:ERROR:Error fetching poster (attempt 3/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:22:30,935:ERROR:Error fetching poster (attempt 1/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:22:32,066:ERROR:Error fetching poster (attempt 2/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:22:34,174:ERROR:Error fetching poster (attempt 3/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:22:38,314:ERROR:Error fetching poster (attempt 1/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:22:39,446:ERROR:Error fetching poster (attempt 2/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:22:41,608:ERROR:Error fetching poster (attempt 3/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:22:45,785:ERROR:Error fetching poster (attempt 1/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:22:46,871:ERROR:Error fetching poster (attempt 2/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:22:49,049:ERROR:Error fetching poster (attempt 3/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:23:08,778:ERROR:Error fetching poster (attempt 1/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:23:09,948:ERROR:Error fetching poster (attempt 2/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:23:12,068:ERROR:Error fetching poster (attempt 3/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:23:16,205:ERROR:Error fetching poster (attempt 1/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:23:17,420:ERROR:Error fetching poster (attempt 2/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:23:19,542:ERROR:Error fetching poster (attempt 3/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:23:23,764:ERROR:Error fetching poster (attempt 1/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:23:25,385:ERROR:Error fetching poster (attempt 1/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:23:26,555:ERROR:Error fetching poster (attempt 2/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:23:28,677:ERROR:Error fetching poster (attempt 3/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:23:44,382:ERROR:Error fetching poster (attempt 1/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:23:45,546:ERROR:Error fetching poster (attempt 2/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:23:47,930:ERROR:Error fetching poster (attempt 1/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:23:49,100:ERROR:Error fetching poster (attempt 2/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:23:51,396:ERROR:Error fetching poster (attempt 3/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:23:55,744:ERROR:Error fetching poster (attempt 1/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:23:56,849:ERROR:Error fetching poster (attempt 2/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:23:59,000:ERROR:Error fetching poster (attempt 3/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:24:03,146:ERROR:Error fetching poster (attempt 1/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:24:04,264:ERROR:Error fetching poster (attempt 2/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:24:06,386:ERROR:Error fetching poster (attempt 3/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:24:37,834:ERROR:Error fetching poster (attempt 1/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:24:38,921:ERROR:Error fetching poster (attempt 2/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:24:41,081:ERROR:Error fetching poster (attempt 3/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:24:45,247:ERROR:Error fetching poster (attempt 1/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
